model,horizon_h,n,rmse,mae,bias,skill_vs_baseline,coverage_80,interval_width,pinball,episode_n,episode_rmse,episode_recall
persistence,24,44168,84.73375999884546,55.82179129159127,2.025280178464827,0.0,0.5724959246513313,82.04052592355589,21.28281377831559,5546,148.48846577696523,0.49224666426253155
persistence,48,44610,93.94755236090299,61.40581740992356,7.49598724711074,0.0,0.5766868415153553,89.68452790854069,23.43280570517848,5385,155.59449386783518,0.49600742804085424
persistence,72,44951,96.07385906037618,63.62378360000955,8.675248187734422,0.0,0.584770082979244,94.35562770201626,24.17819042962906,5270,156.6355142778084,0.45009487666034154
persistence,0,133729,91.75077840135587,60.30706196133765,6.0855135931839355,0.0,0.5780197264617248,88.72998795941754,22.97325650734628,16201,153.5437239743527,0.4797851984445405
persistence-daily,24,44168,93.68558638824196,61.23148196720266,1.8007924027662594,-0.10564651432343464,0.5699375113204129,89.41325615167763,23.359716598866612,5546,161.60161748561976,0.4844933285250631
persistence-daily,48,44610,95.79362689294943,63.020285093386455,4.198603610045384,-0.01965005458529334,0.5840394530374355,91.93483940198227,24.070764956989308,5385,161.90509231678456,0.4352831940575673
persistence-daily,72,44951,99.41333671120984,66.8706789550908,6.226431080938958,-0.03475948279266072,0.5725790304998777,95.60613274919811,25.53007111845069,5270,166.98671356938115,0.4176470588235294
persistence-daily,0,133729,96.34316689443047,63.723731600876874,4.088278603809136,-0.050052855933119034,0.5755296158649208,92.33606141255022,24.32644388513718,16201,163.4726483431696,0.4463921980124684
raw-cams,24,44168,95.17117576802379,69.4275784259662,-8.428066031334446,-0.12317895215933472,0.6156493388878826,136.1517620222786,24.005400713160245,5546,186.21711638743704,0.10800576992426975
raw-cams,48,44610,93.44561784450916,68.80172807027057,-6.391125628723849,0.00534270988205876,0.6112979152656355,134.46643913920659,23.657104049105456,5385,181.95291092693512,0.11717734447539462
raw-cams,72,44951,93.14758477615092,67.70225536398625,-8.935307336220434,0.030458590014441733,0.6293964539164868,135.72952650664058,23.27034994742333,5270,186.35061889719947,0.09184060721062619
raw-cams,0,133729,93.91957539446989,68.63886258028845,-7.919074657253068,-0.023637913823758572,0.6188186556393901,135.44763529974807,23.642137837089056,16201,184.85443516350216,0.10579593852231343
scaled-cams,24,44168,95.34048150252454,69.2586479499427,-12.814332490628942,-0.12517704282004716,0.6129777214272777,135.17964212086662,23.980143938649423,5546,191.1331272452455,0.08979444644789038
scaled-cams,48,44610,93.51708336242352,68.54868092416852,-10.771479952489631,0.004582013981863087,0.6094149293880295,133.6326722543526,23.60777029100598,5385,186.8954578066299,0.09730733519034354
