fold,model,horizon_h,n,rmse,mae,bias,episode_recall,observed_mean
autumn-2025,persistence,24,36744,84.23204320106989,39.309991612206026,-1.86671607603398,0.22070844686648503,91.16003175688483
autumn-2025,persistence,48,36022,88.48902186672274,41.337215188061926,-4.581558982787811,0.17098445595854922,91.16003175688483
autumn-2025,persistence,72,35392,86.71484193345452,42.85191265979429,-8.329404399636056,0.09375,91.16003175688483
autumn-2025,persistence,0,108158,86.48006483299284,41.14416307770765,-4.8856470504973695,0.16142604074402125,91.16003175688483
autumn-2025,raw-cams,24,36744,82.33957120582568,41.99541134706606,-25.653291561422343,0.0,91.16003175688483
autumn-2025,raw-cams,48,36022,82.03078549938284,41.81425704208376,-25.416802375011365,0.0,91.16003175688483
autumn-2025,raw-cams,72,35392,80.69221546971453,41.34425446712945,-25.38432737555339,0.0,91.16003175688483
autumn-2025,raw-cams,0,108158,81.70078161131038,41.72200314176651,-25.486517083906392,0.0,91.16003175688483
autumn-2025,full (no fires),24,36744,69.5026310087261,30.300997649375898,-13.906830752526318,0.0,91.16003175688483
autumn-2025,full (no fires),48,36022,71.5899760884999,32.88373599347624,-20.02233866636352,0.0,91.16003175688483
autumn-2025,full (no fires),72,35392,74.54566521054926,35.33620836187059,-22.981702619181398,0.0,91.16003175688483
autumn-2025,full (no fires),0,108158,71.87775277174023,32.808824885158685,-18.9131242414675,0.0,91.16003175688483
autumn-2025,full,24,36744,69.5026310087261,30.300997649375898,-13.906830752526318,0.0,91.16003175688483
autumn-2025,full,48,36022,71.5899760884999,32.88373599347624,-20.02233866636352,0.0,91.16003175688483
autumn-2025,full,72,35392,74.54566521054926,35.33620836187059,-22.981702619181398,0.0,91.16003175688483
autumn-2025,full,0,108158,71.87775277174023,32.808824885158685,-18.9131242414675,0.0,91.16003175688483
autumn-2025,full+upwind,24,36744,69.0523321334276,30.117523511480456,-12.339521310614288,0.0,91.16003175688483
autumn-2025,full+upwind,48,36022,71.68351995751766,33.28409721005557,-19.874591751375927,0.0,91.16003175688483
autumn-2025,full+upwind,72,35392,73.99777239375008,34.99529559365472,-20.88193061964141,0.0,91.16003175688483
autumn-2025,full+upwind,0,108158,71.57546826033594,32.768279140304806,-17.644364758923274,0.0,91.16003175688483
autumn-2025,coupled,24,36744,68.96222459469986,30.18297889511531,-12.582773944267243,0.0,91.16003175688483
autumn-2025,coupled,48,36022,71.74388377012535,33.136488493595024,-20.42736333227631,0.0,91.16003175688483
autumn-2025,coupled,72,35392,74.14980447712688,35.22627970743335,-21.840558552404556,0.0,91.16003175688483
autumn-2025,coupled,0,108158,71.61757059474726,32.81693870489356,-18.224791287284482,0.0,91.16003175688483
episode-2025,persistence,24,45156,88.75757197482977,60.119297039116205,-2.3852265998818534,0.635198599060734,203.8339411135406
episode-2025,persistence,48,44226,106.40274848697491,72.32934720534972,-2.3892242198209717,0.5632895916537615,203.8339411135406
episode-2025,persistence,72,43890,114.35207701132938,77.81801198799847,-1.8042124520803968,0.5227103499627699,203.8339411135406
episode-2025,persistence,0,133272,103.59860343812045,69.99982916708223,-2.1952098506203543,0.574473848154067,203.8339411135406
episode-2025,raw-cams,24,45156,138.19604102170393,105.08839597794432,-92.23852369084139,0.06041550585051341,203.8339411135406
episode-2025,raw-cams,48,44226,136.01340577195273,104.29870846011235,-91.49667759187075,0.061374195125927136,203.8339411135406
episode-2025,raw-cams,72,43890,135.67200794649978,103.76708339615648,-91.6128129670101,0.05526598825184082,203.8339411135406
episode-2025,raw-cams,0,133272,136.6451155368083,104.39119679598332,-91.78628068974565,0.05904818657060051,203.8339411135406
episode-2025,full (no fires),24,45156,94.5377685961003,64.34956939512782,-19.683999693979484,0.32778794873835865,203.8339411135406
